,Distribution,Order (n),Central Momentum (CM[n]),Recursive Formula for Central Momentum CM[n])
74,Bernoulli,74,p*(p**73*(1 - p) + (p - 1)**74),CM[73]*(p**73*(1 - p) + (p - 1)**74)/((p - 1)*(p**72 - (p - 1)**72))
75,Bernoulli,75,p*(p - 1)*(p**74 - (p - 1)**74),CM[74]*(-p**74 + (p - 1)**74)/(p**73 - (p - 1)**73)
76,Bernoulli,76,p*(p**75*(1 - p) + (p - 1)**76),CM[75]*(p**75*(1 - p) + (p - 1)**76)/((p - 1)*(p**74 - (p - 1)**74))
77,Bernoulli,77,p*(p - 1)*(p**76 - (p - 1)**76),CM[76]*(-p**76 + (p - 1)**76)/(p**75 - (p - 1)**75)
78,Bernoulli,78,p*(p**77*(1 - p) + (p - 1)**78),CM[77]*(p**77*(1 - p) + (p - 1)**78)/((p - 1)*(p**76 - (p - 1)**76))
79,Bernoulli,79,p*(p - 1)*(p**78 - (p - 1)**78),CM[78]*(-p**78 + (p - 1)**78)/(p**77 - (p - 1)**77)
80,Bernoulli,80,p*(p**79*(1 - p) + (p - 1)**80),CM[79]*(p**79*(1 - p) + (p - 1)**80)/((p - 1)*(p**78 - (p - 1)**78))
81,Bernoulli,81,p*(p - 1)*(p**80 - (p - 1)**80),CM[80]*(-p**80 + (p - 1)**80)/(p**79 - (p - 1)**79)
82,Bernoulli,82,p*(p**81*(1 - p) + (p - 1)**82),CM[81]*(p**81*(1 - p) + (p - 1)**82)/((p - 1)*(p**80 - (p - 1)**80))
83,Bernoulli,83,p*(p - 1)*(p**82 - (p - 1)**82),CM[82]*(-p**82 + (p - 1)**82)/(p**81 - (p - 1)**81)
84,Bernoulli,84,p*(p**83*(1 - p) + (p - 1)**84),CM[83]*(p**83*(1 - p) + (p - 1)**84)/((p - 1)*(p**82 - (p - 1)**82))
85,Bernoulli,85,p*(p - 1)*(p**84 - (p - 1)**84),CM[84]*(-p**84 + (p - 1)**84)/(p**83 - (p - 1)**83)
86,Bernoulli,86,p*(p**85*(1 - p) + (p - 1)**86),CM[85]*(p**85*(1 - p) + (p - 1)**86)/((p - 1)*(p**84 - (p - 1)**84))
87,Bernoulli,87,p*(p - 1)*(p**86 - (p - 1)**86),CM[86]*(-p**86 + (p - 1)**86)/(p**85 - (p - 1)**85)
88,Bernoulli,88,p*(p**87*(1 - p) + (p - 1)**88),CM[87]*(p**87*(1 - p) + (p - 1)**88)/((p - 1)*(p**86 - (p - 1)**86))
89,Bernoulli,89,p*(p - 1)*(p**88 - (p - 1)**88),CM[88]*(-p**88 + (p - 1)**88)/(p**87 - (p - 1)**87)
90,Bernoulli,90,p*(p**89*(1 - p) + (p - 1)**90),CM[89]*(p**89*(1 - p) + (p - 1)**90)/((p - 1)*(p**88 - (p - 1)**88))
91,Bernoulli,91,p*(p - 1)*(p**90 - (p - 1)**90),CM[90]*(-p**90 + (p - 1)**90)/(p**89 - (p - 1)**89)
92,Bernoulli,92,p*(p**91*(1 - p) + (p - 1)**92),CM[91]*(p**91*(1 - p) + (p - 1)**92)/((p - 1)*(p**90 - (p - 1)**90))
93,Bernoulli,93,p*(p - 1)*(p**92 - (p - 1)**92),CM[92]*(-p**92 + (p - 1)**92)/(p**91 - (p - 1)**91)
94,Bernoulli,94,p*(p**93*(1 - p) + (p - 1)**94),CM[93]*(p**93*(1 - p) + (p - 1)**94)/((p - 1)*(p**92 - (p - 1)**92))
95,Bernoulli,95,p*(p - 1)*(p**94 - (p - 1)**94),CM[94]*(-p**94 + (p - 1)**94)/(p**93 - (p - 1)**93)
96,Bernoulli,96,p*(p**95*(1 - p) + (p - 1)**96),CM[95]*(p**95*(1 - p) + (p - 1)**96)/((p - 1)*(p**94 - (p - 1)**94))
97,Bernoulli,97,p*(p - 1)*(p**96 - (p - 1)**96),CM[96]*(-p**96 + (p - 1)**96)/(p**95 - (p - 1)**95)
98,Bernoulli,98,p*(p**97*(1 - p) + (p - 1)**98),CM[97]*(p**97*(1 - p) + (p - 1)**98)/((p - 1)*(p**96 - (p - 1)**96))
99,Bernoulli,99,p*(p - 1)*(p**98 - (p - 1)**98),CM[98]*(-p**98 + (p - 1)**98)/(p**97 - (p - 1)**97)
